Team_Key,RANK,Team_ShortName,OPENING DAY,CURRENT,DIFF,AVG SALARY,MEDIAN
5,6,Angels,177328583,177328583,--,5373593,1400000
9,8,Astros,165653000,165653000,--,6135296,4500000
24,23,Athletics,102545000,102545000,--,3107424,1400000
22,28,Blue Jays,71228671,71228671,--,2225896,1100000
12,17,Braves,117855753,117855753,--,4063991,1250000
8,15,Brewers,127850342,127850342,--,4261678,2362500
2,9,Cardinals,165253599,165253599,--,5508453,1750000
4,1,Cubs,211546714,211546714,--,7051557,4200000
17,19,Diamondbacks,108040650,108040650,--,3601355,2425000
1,7,Dodgers,170903333,170903333,--,6103690,2887500
11,5,Giants,199729652,199729652,--,7681910,4037500
21,16,Indians,122875033,122875033,--,4237070,1000000
20,10,Mariners,152807076,152807076,--,5093569,755000
30,29,Marlins,70610020,70610020,--,2615186,570000
13,12,Mets,148902230,149002230,--,4966741,2112500
16,3,Nationals,204449127,204449127,--,7301755,3862500
28,25,Orioles,80012045,80012045,--,2857573,568250
14,27,Padres,75795366,75795766,--,2368618,573800
10,13,Phillies,144616127,144616127,--,5356153,2249000
27,26,Pirates,75991333,76082999,--,2305545,584000
18,20,Rangers,106969999,106969999,--,3820357,2000000
29,30,Rays,53500799,53500799,--,1910743,568500
7,4,Red Sox,204335019,204335019,--,7046035,2933333
19,14,Reds,133580714,133580714,--,4770740,2187500
6,11,Rockies,150805164,150805164,--,5585376,2500000
26,22,Royals,102570791,102570791,--,3205337,725000
25,21,Tigers,104581900,104581900,--,3169148,570800
15,18,Twins,114901933,114901933,--,3962136,1800000
23,24,White Sox,90652000,90652000,--,3237571,990000
3,2,Yankees,205442088,205442088,--,6420065,1593750
,,,,,,,
,,,,,,,
,https://www.usatoday.com/sports/mlb/salaries/2019/team/all/,,,,,,
,,,,,,,
,2019 Total Payroll:,,,,,,
