Team_Key,Team_LongName,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF
17,Arizona Diamondbacks,85,77,0.525,21,44-37,41-40,813,743,70
12,Atlanta Braves,97,65,0.599,--,50-31,47-34,855,743,112
28,Baltimore Orioles,54,108,0.333,49,25-56,29-52,729,981,-252
7,Boston Red Sox,84,78,0.519,19,38-43,46-35,901,828,73
4,Chicago Cubs,84,78,0.519,7,51-30,33-48,814,717,97
23,Chicago White Sox,72,89,0.447,28.5,39-41,33-48,708,832,-124
19,Cincinnati Reds,75,87,0.463,16,41-40,34-47,701,711,-10
21,Cleveland Indians,93,69,0.574,8,49-32,44-37,769,657,112
6,Colorado Rockies,71,91,0.438,35,43-38,28-53,835,958,-123
25,Detroit Tigers,47,114,0.292,53.5,22-59,25-55,582,915,-333
9,Houston Astros,107,55,0.66,--,60-21,47-34,920,640,280
26,Kansas City Royals,59,103,0.364,42,31-50,28-53,691,869,-178
5,Los Angeles Angels,72,90,0.444,35,38-43,34-47,769,868,-99
1,Los Angeles Dodgers,106,56,0.654,--,59-22,47-34,886,613,273
30,Miami Marlins,57,105,0.352,40,30-51,27-54,615,808,-193
8,Milwaukee Brewers,89,73,0.549,2,49-32,40-41,769,766,3
15,Minnesota Twins,101,61,0.623,--,46-35,55-26,939,754,185
13,New York Mets,86,76,0.531,11,48-33,38-43,791,737,54
3,New York Yankees,103,59,0.636,--,57-24,46-35,943,739,204
24,Oakland Athletics,97,65,0.599,10,52-29,45-36,845,680,165
10,Philadelphia Phillies,81,81,0.5,16,45-36,36-45,774,794,-20
27,Pittsburgh Pirates,69,93,0.426,22,35-46,34-47,758,911,-153
14,San Diego Padres,70,92,0.432,36,36-45,34-47,682,789,-107
11,San Francisco Giants,77,85,0.475,29,35-46,42-39,678,773,-95
20,Seattle Mariners,68,94,0.42,39,35-46,33-48,758,893,-135
2,St. Louis Cardinals,91,71,0.562,--,50-31,41-40,764,662,102
29,Tampa Bay Rays,96,66,0.593,7,48-33,48-33,769,656,113
18,Texas Rangers,78,84,0.481,29,45-36,33-48,810,878,-68
22,Toronto Blue Jays**,67,95,0.414,36,35-46,32-49,726,828,-102
16,Washington Nationals,93,69,0.574,4,50-31,43-38,873,724,149
