Team_Key,Team_LongName,Team_CityName,Team_Abrv,Team_ShortName
1,Los Angeles Dodgers,Los Angeles,LA Dodgers,Dodgers
2,St. Louis Cardinals,St. Louis,St. Louis,Cardinals
3,New York Yankees,New York,NY Yankees,Yankees
4,Chicago Cubs,Chicago,Chicago Cubs,Cubs
5,Los Angeles Angels,Los Angeles,LA Angels,Angels
6,Colorado Rockies,Colorado,Colorado,Rockies
7,Boston Red Sox,Boston,Boston,Red Sox
8,Milwaukee Brewers,Milwaukee,Milwaukee,Brewers
9,Houston Astros,Houston,Houston,Astros
10,Philadelphia Phillies,Philadelphia,Philadelphia,Phillies
11,San Francisco Giants,San Francisco,San Francisco,Giants
12,Atlanta Braves,Atlanta,Atlanta,Braves
13,New York Mets,New York,NY Mets,Mets
14,San Diego Padres,San Diego,San Diego,Padres
15,Minnesota Twins,Minnesota,Minnesota,Twins
16,Washington Nationals,Washington,Washington,Nationals
17,Arizona Diamondbacks,Arizona,Arizona,Diamondbacks
18,Texas Rangers,Texas,Texas,Rangers
19,Cincinnati Reds,Cincinnati,Cincinnati,Reds
20,Seattle Mariners,Seattle,Seattle,Mariners
21,Cleveland Indians,Cleveland,Cleveland,Indians
22,Toronto Blue Jays**,Toronto,Toronto,Blue Jays
23,Chicago White Sox,Chicago,Chicago White Sox,White Sox
24,Oakland Athletics,Oakland,Oakland,Athletics
25,Detroit Tigers,Detroit,Detroit,Tigers
26,Kansas City Royals,Kansas,Kansas City,Royals
27,Pittsburgh Pirates,Pittsburgh,Pittsburgh,Pirates
28,Baltimore Orioles,Baltimore,Baltimore,Orioles
29,Tampa Bay Rays,Tampa Bay,Tampa Bay,Rays
30,Miami Marlins,Miami,Miami,Marlins
